id_fonction	disposition_courante	etape	source_decision	reference_backlog	portee_courante	validation_courante
F01-001	partiel	U-M1	KD-003;KD-023	KB-011	Paquets et rôles : Service et desktop sur la même machine; découpage interne à étudier	KV-001
F01-002	engage	U-M1	KD-003		Serveur en arrière-plan : Service actif après fermeture de la fenêtre et arrêté par Quitter	KV-001
F01-003	partiel	U-M1	KD-022	KB-004	Connexion au serveur : Contrôle local limité à l'utilisateur de la session; contrôle réseau différé	KV-012
F01-004	differe	backlog	KD-007	KB-006	Autres desktops : Clients autres que Linux Omarchy sans engagement	
F01-005	hors_portee	backlog	KD-005	KB-014	Déploiement serveur NAS : Le NAS fournit une source montée; kuro n'y déploie pas son service	
F01-006	engage	U-M1	KD-023		Version des composants : Versions installées figées et identifiables	KV-001
F01-007	differe	backlog	KD-023	KB-007	Mises à jour : Mise à jour automatique sans engagement	
F01-008	partiel	U-M1	KD-030;KD-035	KB-020	Relocalisation du serveur : Restauration du format U-M1; migration ou relocalisation entre versions différée	KV-011
F02-001	engage	U-M1	KD-001;KD-036		Source locale : Dossier local lu sans modifier ses fichiers	KV-002;KV-013
F02-002	partiel	U-M1	KD-005	KB-014	Source NAS : Montage NAS déjà disponible; protocole et identifiants hors de kuro	KV-003
F02-003	differe	backlog	KD-021	KB-016	Copie par glisser-déposer : Aucune copie de média par kuro	
F02-004	partiel	U-M1	KD-016;KD-036	KB-002	Surveillance des changements : Changements trouvés par un scan pilotable; surveillance automatique différée	KV-002
F02-005	engage	U-M1	KD-016;KD-036		Rescan manuel : Nouveau scan manuel, annulable et reprenable	KV-002
F02-006	partiel	U-M1	KD-029	KB-016	Désactivation de source : Retrait explicite qui masque la source; réactivation automatique interdite	KV-003
F02-007	partiel	U-M1	KD-028	KB-022	Modification du chemin : Relocalisation de racine avec chemins relatifs identiques seulement	KV-003
F02-008	differe	backlog	KD-036	KB-016	Exclusions d’import : Règles d'exclusion configurables sans engagement	
F02-009	partiel	U-M1	KD-014;KD-039	KB-012	Formats importables : Sous-ensemble garanti des formats PCM stéréo candidats; DSD exclu	KV-009
F02-010	engage	U-M1	KD-036		Fichiers ignorés : Fichier invalide signalé sans bloquer le reste du scan	KV-002
F02-011	engage	U-M1	KD-017;KD-033		Lecture des tags : Tags locaux lus avec replis explicites	KV-004
F02-012	differe	backlog	KD-033	KB-016	Tags multivalués : Import spécialisé non requis par U-M1	
F02-013	differe	backlog	KD-033	KB-016	Dates d’ajout : Import spécialisé non requis par U-M1	
F02-014	differe	backlog	KD-033	KB-016	Playlists de fichiers : Import spécialisé non requis par U-M1	
F02-015	differe	backlog	KD-033	KB-016	Import iTunes : Import spécialisé non requis par U-M1	
F02-016	differe	backlog	KD-029	KB-016	Nettoyage explicite : Purge des références comme opération séparée à décider	
F02-017	differe	backlog	KD-016;KD-036	KB-002	Analyse programmée : Analyse ou scan programmé sans engagement	
F02-018	differe	backlog	KD-036	KB-016	Analyse à la demande : Analyse spécialisée à la demande sans engagement	
F03-001	partiel	U-M1	KD-028;KD-033	KB-017	Identités des copies : Références et copies distinctes; organisation avancée différée	KV-004
F03-002	differe	backlog	KD-028	KB-017	Identification enrichie : Identification enrichie ou manuelle sans engagement	
F03-003	differe	backlog	KD-028	KB-017	Identification manuelle : Identification enrichie ou manuelle sans engagement	
F03-004	differe	U-M3	KD-037	KB-024	Versions alternatives : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-005	differe	U-M3	KD-037	KB-024	Version principale : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-006	differe	backlog	KD-037	KB-017	Préférences de métadonnées : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-007	differe	U-M3	KD-037	KB-024	Corrections par champ : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-008	differe	backlog	KD-037	KB-017	Édition par lot : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-009	differe	U-M3	KD-037	KB-024	Préservation des corrections : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-010	differe	U-M3	KD-037	KB-024	Fusion d’albums : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-011	differe	U-M3	KD-037	KB-024	Correction de structure : Organisation volontaire des éditions et corrections internes à préciser après U-M1	
F03-012	differe	backlog	KD-037	KB-017	Masquage : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-013	differe	backlog	KD-037	KB-017	Indicateurs de publication : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-014	differe	backlog	KD-037	KB-017	Édition des illustrations : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-015	differe	backlog	KD-037	KB-017	Réimport des informations : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-016	differe	backlog	KD-037	KB-017	Crédits structurés : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-017	differe	backlog	KD-037	KB-017	Édition des crédits : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-018	differe	backlog	KD-037	KB-001	Œuvre et interprétation : Modèle classique avancé non requis	
F03-019	differe	backlog	KD-037	KB-001	Mouvements : Modèle classique avancé non requis	
F03-020	differe	backlog	KD-037	KB-001	Compositeurs : Modèle classique avancé non requis	
F03-021	differe	backlog	KD-037	KB-017	Genres hiérarchiques : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-022	differe	backlog	KD-037	KB-017	Personnalisation des genres : Métadonnée ou édition avancée au-delà de U-M3 limité	
F03-023	differe	backlog	KD-037	KB-001	Descripteurs classiques : Modèle classique avancé non requis	
F03-024	differe	backlog	KD-037	KB-017	Galerie et livrets : Métadonnée ou édition avancée au-delà de U-M3 limité	
F04-001	engage	U-M1	KD-001;KD-033		Vue albums : Vue locale avec replis et ambiguïtés visibles	KV-004
F04-002	engage	U-M1	KD-001;KD-033		Vue artistes : Vue locale avec replis et ambiguïtés visibles	KV-004
F04-003	engage	U-M1	KD-001;KD-033		Vue pistes : Vue locale avec replis et ambiguïtés visibles	KV-004
F04-004	engage	U-M1	KD-027		Recherche globale : Recherche album, piste et artiste sans casse ni accents	KV-005
F04-005	differe	U-M2	KD-037	KB-023	Filtre de vue : Filtres locaux à préciser après l'usage de U-M1	
F04-006	engage	U-M1	KD-027		Tri : Ordre alphabétique stable et ordre disque-piste déterministe	KV-004
F04-007	differe	backlog	KD-040	KB-021	Colonnes personnalisées : Navigation ou personnalisation avancée sans engagement	
F04-008	differe	U-M2	KD-037	KB-023	Focus : Filtres locaux à préciser après l'usage de U-M1	
F04-009	differe	U-M2	KD-037	KB-023	Focus négatif : Filtres locaux à préciser après l'usage de U-M1	
F04-010	partiel	U-M1	KD-040	KB-021	Navigation historique : Retour à la liste ou recherche avec place conservée; historique général différé	KV-005
F04-011	differe	backlog	KD-037	KB-001	Vues classiques : Vues classiques avancées non requises	
F04-012	partiel	U-M1	KD-028;KD-033	KB-017	Versions et emplacements : Source, copie et ambiguïté visibles; gestion avancée des versions différée	KV-004
F04-013	differe	backlog	KD-040	KB-021	Sélection multiple : Navigation ou personnalisation avancée sans engagement	
F04-014	differe	backlog	KD-040	KB-021	Navigation par dossiers : Navigation ou personnalisation avancée sans engagement	
F04-015	partiel	U-M1	KD-002;KD-030	KB-017	Pochettes locales : Images de source en lecture seule et pochettes détenues restaurables; édition différée	KV-004;KV-011
F05-001	engage	U-M1	KD-034		Création de playlist : Création, nom, renommage, suppression, ordre et doublons d'une playlist	KV-006
F05-002	engage	U-M1	KD-034		Édition de playlist : Création, nom, renommage, suppression, ordre et doublons d'une playlist	KV-006
F05-003	engage	U-M1	KD-034		Gestion de playlist : Création, nom, renommage, suppression, ordre et doublons d'une playlist	KV-006
F05-004	engage	U-M1	KD-034		Doublons en playlist : Création, nom, renommage, suppression, ordre et doublons d'une playlist	KV-006
F05-005	differe	backlog	KD-034;KD-037	KB-018	Dossiers de playlists : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-006	differe	backlog	KD-034;KD-037	KB-018	Copie de playlist : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-007	differe	U-M2	KD-037	KB-023	Favoris personnels : Favoris d'albums et de pistes après U-M1	
F05-008	hors_portee	backlog	KD-024	KB-018	Profils : U-M1 sert une personne sur son compte local	
F05-009	differe	backlog	KD-034;KD-037	KB-018	Historique personnel : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-010	differe	backlog	KD-037	KB-017	Tags d’objets : Tags d'objets et import de tags sans engagement	
F05-011	differe	backlog	KD-037	KB-017	Tags par lot : Tags d'objets et import de tags sans engagement	
F05-012	differe	backlog	KD-037	KB-017	Portée des tags : Tags d'objets et import de tags sans engagement	
F05-013	differe	backlog	KD-037	KB-017	Import des tags Roon : Tags d'objets et import de tags sans engagement	
F05-014	differe	backlog	KD-034;KD-037	KB-018	Bookmarks : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-015	differe	backlog	KD-034;KD-037	KB-018	Gestion des bookmarks : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-016	differe	backlog	KD-034;KD-037	KB-018	Smart Playlists : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-017	differe	backlog	KD-034;KD-037	KB-018	Règles Smart Playlists : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-018	differe	backlog	KD-034;KD-037	KB-018	Bans : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-019	differe	backlog	KD-034;KD-037	KB-018	Recherche des bans : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-020	differe	backlog	KD-034;KD-037	KB-018	Dossiers favoris : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-021	differe	backlog	KD-034;KD-037	KB-018	Export des médias : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-022	differe	backlog	KD-034;KD-037	KB-018	Export M3U : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F05-023	differe	backlog	KD-034;KD-037	KB-018	Export de catalogue : Organisation, historique, automatisation ou export au-delà des playlists U-M1	
F06-001	engage	U-M1	KD-018;KD-034		Transport : Transport et file selon les effets précis de Lecture, Jouer ensuite et Ajouter	KV-007
F06-002	engage	U-M1	KD-018;KD-034		Lecture d’une sélection : Transport et file selon les effets précis de Lecture, Jouer ensuite et Ajouter	KV-007
