id	domaine	fonction	comportement_reference	statut_preuve	date_preuve	sources	portee_reference	responsable_kuro	disposition	milestone	validation_future
F01-001	D01	Paquets et rôles	Serveur et contrôle séparables	documente	2026-09-06	SRC-001;SRC-133	serveur_desktop	exploitation	socle	M1	Démarrer bibliothèque, contrôle et sortie sur la même machine
F01-002	D01	Serveur en arrière-plan	Service Linux sans interface	documente	2026-09-06	SRC-134	serveur_desktop	exploitation	socle	M1	Fermer le contrôle puis vérifier que le serveur reste joignable
F01-003	D01	Connexion au serveur	Contrôle local ou réseau	documente	2026-09-06	SRC-001	serveur_desktop	exploitation	socle	M1	Ouvrir le desktop sur le serveur local sélectionné
F01-004	D01	Autres desktops	Contrôle Windows et macOS	documente	2026-09-06	SRC-001;SRC-133	serveur_desktop	exploitation	retenu_provisoire	M6	Réaliser le même parcours sur chaque desktop retenu
F01-005	D01	Déploiement serveur NAS	Docker amd64 documenté	documente	2026-09-06	SRC-133;SRC-134;SRC-135	serveur_desktop	exploitation	conditionnel	M6	Confirmer le support natif ou conteneur avant choix
F01-006	D01	Version des composants	Versions serveur et contrôle visibles	documente	2026-09-06	SRC-017	serveur_desktop	exploitation	socle	M1	Identifier séparément les versions installées
F01-007	D01	Mises à jour	Politique automatique ou demandée	documente	2026-09-06	SRC-016	serveur_desktop	exploitation	retenu_provisoire	M6	Mettre à jour puis lire la version et vérifier les données
F01-008	D01	Relocalisation du serveur	Restauration vers une autre machine	documente	2026-09-06	SRC-130;SRC-014	serveur_desktop	exploitation	retenu_provisoire	M6	Restaurer ailleurs puis retrouver les mêmes playlists
F02-001	D02	Source locale	Dossier surveillé	documente	2026-09-06	SRC-102	serveur_desktop	serveur_bibliotheque	socle	M1	Importer un dossier puis retrouver ses albums
F02-002	D02	Source NAS	Partage SMB avec identifiants	documente	2026-09-06	SRC-102	serveur_desktop	serveur_bibliotheque	socle	M1	Lire depuis un NAS joignable sans copier toute la collection
F02-003	D02	Copie par glisser-déposer	Copie vers stockage choisi	documente	2026-09-06	SRC-102	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Comparer destination choisie et fichiers copiés
F02-004	D02	Surveillance des changements	Ajouts, retraits et modifications repérés	documente	2026-09-06	SRC-001	serveur_desktop	serveur_bibliotheque	socle	M1	Modifier un corpus de test puis comparer son index
F02-005	D02	Rescan manuel	Relance du scan de stockage	documente	2026-09-06	SRC-102;SRC-104	serveur_desktop	serveur_bibliotheque	socle	M1	Ajouter un fichier puis le trouver après rescan
F02-006	D02	Désactivation de source	Surveillance suspendue puis réactivable	documente	2026-09-06	SRC-102	serveur_desktop	serveur_bibliotheque	socle	M1	Désactiver puis réactiver une source sans perdre les playlists
F02-007	D02	Modification du chemin	Emplacement de collection relocalisable	documente	2026-09-06	SRC-131	serveur_desktop	serveur_bibliotheque	socle	M1	Déplacer un corpus de test et vérifier ses références
F02-008	D02	Exclusions d’import	Motifs de fichiers ignorés	documente	2026-09-06	SRC-102;SRC-103	serveur_desktop	serveur_bibliotheque	socle	M1	Exclure un dossier et constater son absence de l’index
F02-009	D02	Formats importables	PCM compressé ou non; DSF/DFF	documente	2026-09-06	SRC-103	serveur_desktop	serveur_bibliotheque	socle	M1	Définir puis tester le sous-ensemble M1; DSD envisagé M3; signaler les formats refusés
F02-010	D02	Fichiers ignorés	Liste de fichiers non importés	documente	2026-09-06	SRC-103	serveur_desktop	serveur_bibliotheque	socle	M1	Importer un fichier invalide et retrouver son motif de rejet
F02-011	D02	Lecture des tags	Tags extraits à l’import	documente	2026-09-06	SRC-001;SRC-006	serveur_desktop	serveur_bibliotheque	socle	M1	Comparer album, artiste et piste aux tags du corpus
F02-012	D02	Tags multivalués	Séparateurs configurables	documente	2026-09-06	SRC-006	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Importer artistes multiples sans scinder les noms à tort
F02-013	D02	Dates d’ajout	Source de date configurable	documente	2026-09-06	SRC-006	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Comparer date choisie et date affichée après réimport
F02-014	D02	Playlists de fichiers	M3U, M3U8, PLS, XSPF	documente	2026-09-06	SRC-015	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Importer des chemins relatifs et identifier les pistes manquantes
F02-015	D02	Import iTunes	XML surveillé et playlists importées	documente	2026-09-06	SRC-015	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Importer un XML de test puis comparer son ordre
F02-016	D02	Nettoyage explicite	Oubli des fichiers indisponibles	documente	2026-09-06	SRC-104	serveur_desktop	serveur_bibliotheque	proposition	M2	Afficher les références affectées avant nettoyage
F02-017	D02	Analyse programmée	Planification et ressources réglables	documente	2026-09-06	SRC-105	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M3	Vérifier créneau d’analyse et progression visible
F02-018	D02	Analyse à la demande	Relance sur contenu choisi	documente	2026-09-06	SRC-105	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M3	Relancer une analyse et retrouver son résultat
F03-001	D03	Identités des copies	Copies locales identifiées séparément	documente	2026-09-06	SRC-002	serveur_desktop	serveur_bibliotheque	socle	M1	Conserver deux copies distinctes et une référence précise en playlist
F03-002	D03	Identification enrichie	Correspondance vers catalogue Roon	documente	2026-09-06	SRC-001;SRC-003	serveur_desktop	serveur_bibliotheque	conditionnel	M5	Afficher résultat et provenance sans écraser les tags locaux
F03-003	D03	Identification manuelle	Édition choisie par utilisateur	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Choisir une correspondance et retrouver ce choix après redémarrage
F03-004	D03	Versions alternatives	Regroupement automatique et manuel	documente	2026-09-06	SRC-212	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Grouper puis séparer deux éditions sans fusionner les fichiers
F03-005	D03	Version principale	Version préférée sélectionnable	documente	2026-09-06	SRC-212	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Changer l’édition principale puis vérifier la vue album
F03-006	D03	Préférences de métadonnées	Priorité fichier ou service	documente	2026-09-06	SRC-006	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Résoudre un conflit de titre selon la priorité choisie
F03-007	D03	Corrections par champ	Édition stockée dans la base	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Corriger un titre puis comparer les fichiers sources
F03-008	D03	Édition par lot	Modification de plusieurs objets	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Appliquer un changement aux seuls objets sélectionnés
F03-009	D03	Préservation des corrections	Champ modifié protégé des mises à jour	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Actualiser les métadonnées et conserver le titre corrigé
F03-010	D03	Fusion d’albums	Regroupement de disques	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Réunir deux disques et vérifier l’ordre obtenu
F03-011	D03	Correction de structure	Scission et réordre pistes/disques	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Scinder un coffret sans perdre ses références de pistes
F03-012	D03	Masquage	Albums cachés puis réaffichables	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Masquer puis retrouver un album via filtre explicite
F03-013	D03	Indicateurs de publication	Live, compilation, bootleg éditables	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Modifier un indicateur et vérifier son affichage
F03-014	D03	Édition des illustrations	Pochette modifiable dans la base	documente	2026-09-06	SRC-002	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Changer une pochette et vérifier sa provenance
F03-015	D03	Réimport des informations	Tags et illustrations rescannables	documente	2026-09-06	SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Changer une image externe puis constater le rescan
F03-016	D03	Crédits structurés	Personne, rôle et catégorie	documente	2026-09-06	SRC-002	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Retrouver un musicien depuis le crédit d’une piste
F03-017	D03	Édition des crédits	Documentation d’époques divergentes	contradictoire	2026-09-06	SRC-002;SRC-004	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Observer l’éditeur actuel avant de fixer les champs
F03-018	D03	Œuvre et interprétation	Œuvre liée à plusieurs pistes	documente	2026-09-06	SRC-002;SRC-213	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Relier une œuvre à deux interprétations distinctes
F03-019	D03	Mouvements	Parties distinctes des pistes	documente	2026-09-06	SRC-002;SRC-213	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Afficher une œuvre dont les mouvements ne suivent pas un découpage un pour un
F03-020	D03	Compositeurs	Compositeur distinct de l’interprète	documente	2026-09-06	SRC-002;SRC-214	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Chercher une œuvre par compositeur et par chef
F03-021	D03	Genres hiérarchiques	Navigation par sous-genres	documente	2026-09-06	SRC-005	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Parcourir genre puis sous-genre et retrouver les albums attendus
F03-022	D03	Personnalisation des genres	Affectations, mappings et hiérarchie	documente	2026-09-06	SRC-005	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Fusionner deux libellés sans modifier les tags sources
F03-023	D03	Descripteurs classiques	Période, forme et catalogue	documente	2026-09-06	SRC-002;SRC-214	serveur_desktop	serveur_bibliotheque	retenu_provisoire	M2	Filtrer les œuvres selon un descripteur connu
F03-024	D03	Galerie et livrets	Images et PDF associés à l’album	documente	2026-09-06	SRC-018	serveur_desktop	desktop	retenu_provisoire	M2	Ouvrir l’image puis le livret du bon album
F04-001	D04	Vue albums	Albums réunis dans un navigateur	documente	2026-09-06	SRC-202	serveur_desktop	desktop	socle	M1	Retrouver les albums locaux et NAS dans une vue
F04-002	D04	Vue artistes	Navigation des artistes	documente	2026-09-06	SRC-201	serveur_desktop	desktop	socle	M1	Ouvrir un artiste et retrouver ses albums
F04-003	D04	Vue pistes	Liste de pistes	documente	2026-09-06	SRC-203	serveur_desktop	desktop	socle	M1	Retrouver une piste et lancer sa lecture
F04-004	D04	Recherche globale	Recherche au-delà de la vue	documente	2026-09-06	SRC-203	serveur_desktop	desktop	socle	M1	Trouver album, artiste et piste par des requêtes connues
F04-005	D04	Filtre de vue	Restriction textuelle locale	documente	2026-09-06	SRC-202;SRC-203	serveur_desktop	desktop	socle	M1	Filtrer une liste et vérifier les éléments restants
F04-006	D04	Tri	Colonnes triables	documente	2026-09-06	SRC-203	serveur_desktop	desktop	socle	M1	Trier titres et vérifier l’ordre sur accents et nombres
F04-007	D04	Colonnes personnalisées	Colonnes de liste configurables	documente	2026-09-06	SRC-203	serveur_desktop	desktop	retenu_provisoire	M2	Masquer une colonne puis conserver le réglage
F04-008	D04	Focus	Combinaison de critères	documente	2026-09-06	SRC-204	serveur_desktop	desktop	retenu_provisoire	M2	Combiner genre, format et date sur un corpus connu
