id_fonction	plan	milestone	phase	scenario	disposition
F01-001	plans/installation-et-exploitation.md	M1	milestones/m01-mvp-local.md#m1-p01	validation.md#v-001	socle
F01-002	plans/installation-et-exploitation.md	M1	milestones/m01-mvp-local.md#m1-p01	validation.md#v-001	socle
F01-003	plans/installation-et-exploitation.md	M1	milestones/m01-mvp-local.md#m1-p01	validation.md#v-001	socle
F01-004	plans/installation-et-exploitation.md	M6	milestones/m06-desktop-et-distribution.md#m6-p01	validation.md#v-046	retenu_provisoire
F01-005	plans/installation-et-exploitation.md	M6	milestones/m06-desktop-et-distribution.md#m6-p02	validation.md#v-047	conditionnel
F01-006	plans/installation-et-exploitation.md	M1	milestones/m01-mvp-local.md#m1-p01	validation.md#v-001	socle
F01-007	plans/installation-et-exploitation.md	M6	milestones/m06-desktop-et-distribution.md#m6-p02	validation.md#v-047	retenu_provisoire
F01-008	plans/installation-et-exploitation.md	M6	milestones/m06-desktop-et-distribution.md#m6-p02	validation.md#v-047	retenu_provisoire
F02-001	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-002	socle
F02-002	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-002	socle
F02-003	plans/bibliotheque-et-metadonnees.md	M2	milestones/m02-bibliotheque-avancee.md#m2-p01	validation.md#v-021	retenu_provisoire
F02-004	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-003	socle
F02-005	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-003	socle
F02-006	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-003	socle
F02-007	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-003	socle
F02-008	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-003	socle
F02-009	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-004	socle
F02-010	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-004	socle
F02-011	plans/bibliotheque-et-metadonnees.md	M1	milestones/m01-mvp-local.md#m1-p02	validation.md#v-004	socle
F02-012	plans/bibliotheque-et-metadonnees.md	M2	milestones/m02-bibliotheque-avancee.md#m2-p01	validation.md#v-021	retenu_provisoire
